component,explained_variance_ratio,cumulative
110,6.482525028022057e-05,0.9981096723840253
111,6.16606087311794e-05,0.9981713329927564
112,5.7425626129727615e-05,0.9982287586188862
113,5.7153238437978935e-05,0.9982859118573242
114,5.6420833814366956e-05,0.9983423326911386
115,5.356370296609375e-05,0.9983958963941046
116,5.231923236136187e-05,0.998448215626466
117,5.1063457430674084e-05,0.9984992790838967
118,4.861154558239353e-05,0.9985478906294791
119,4.770628987114678e-05,0.9985955969193503
120,4.6705243710411004e-05,0.9986423021630607
121,4.624589081765059e-05,0.9986885480538784
122,4.611515926759005e-05,0.998734663213146
123,4.4644267165765376e-05,0.9987793074803117
124,4.3917576962788045e-05,0.9988232250572745
125,4.192443390477081e-05,0.9988651494911792
126,4.090986778842393e-05,0.9989060593589676
127,3.704264384778163e-05,0.9989431020028153
128,3.676709077950111e-05,0.9989798690935948
129,3.5954931004626957e-05,0.9990158240245994
130,3.4526183002108985e-05,0.9990503502076016
131,3.408347768920018e-05,0.9990844336852908
132,3.260001098747085e-05,0.9991170336962782
133,3.1314238805635116e-05,0.9991483479350839
134,2.9877697198861966e-05,0.9991782256322828
135,2.8607928046122812e-05,0.9992068335603289
136,2.8278886574213728e-05,0.9992351124469031
137,2.6850696863342102e-05,0.9992619631437665
138,2.623556209105308e-05,0.9992881987058575
139,2.517902869074104e-05,0.9993133777345482
140,2.4319139836141343e-05,0.9993376968743843
141,2.3590691594050785e-05,0.9993612875659784
142,2.3337519288129377e-05,0.9993846250852666
143,2.310684247534524e-05,0.9994077319277419
144,2.236231928715125e-05,0.9994300942470291
145,2.1760783254160188e-05,0.9994518550302832
146,2.1378336500190913e-05,0.9994732333667834
147,2.1252578150820285e-05,0.9994944859449342
148,2.093826990903934e-05,0.9995154242148432
149,2.061510445703522e-05,0.9995360393193002
150,2.014885341870857e-05,0.999556188172719
151,1.9351399684628555e-05,0.9995755395724036
152,1.8997312441813044e-05,0.9995945368848455
153,1.8476162354405626e-05,0.9996130130471998
154,1.8143176894580163e-05,0.9996311562240944
155,1.637517873135616e-05,0.9996475314028257
156,1.5290872897099865e-05,0.9996628222757228
157,1.4084347094061078e-05,0.9996769066228168
158,1.385781627350773e-05,0.9996907644390903
159,1.3161349274869298e-05,0.9997039257883652
160,1.3063666363689168e-05,0.9997169894547289
161,1.28481094780583e-05,0.999729837564207
162,1.2378909867356944e-05,0.9997422164740744
163,1.1593986313016958e-05,0.9997538104603874
164,1.1386071051207128e-05,0.9997651965314386
165,1.1370652944021904e-05,0.9997765671843826
166,1.1360060582364745e-05,0.9997879272449649
167,1.1289535463170042e-05,0.999799216780428
168,1.1232239394604057e-05,0.9998104490198226
169,1.1213953526994302e-05,0.9998216629733496
170,1.1183587013160056e-05,0.9998328465603628
171,1.1004959369053214e-05,0.9998438515197318
172,1.0961522925670638e-05,0.9998548130426574
173,1.0697604114715104e-05,0.9998655106467722
174,1.0323065741761038e-05,0.999875833712514
175,1.0023034185279203e-05,0.9998858567466993
176,9.94046865266473e-06,0.9998957972153519
177,9.273485184595951e-06,0.9999050707005366
178,9.074601686607232e-06,0.9999141453022232
179,8.655781240384082e-06,0.9999228010834637
180,7.968119604023827e-06,0.9999307692030677
181,7.830796668838008e-06,0.9999385999997366
182,7.460544869793886e-06,0.9999460605446063
183,7.1681978066428685e-06,0.999953228742413
184,6.248602683306675e-06,0.9999594773450963
185,5.7649792645489985e-06,0.9999652423243608
186,5.096368203717108e-06,0.9999703386925645
187,4.975208090160205e-06,0.9999753139006546
188,4.783637766703954e-06,0.9999800975384213
189,4.061013728970515e-06,0.9999841585521503
190,3.7815670127444006e-06,0.999987940119163
191,3.155942237506949e-06,0.9999910960614006
192,2.6497692204594393e-06,0.9999937458306211
193,2.4613348329687547e-06,0.999996207165454
194,1.919767196929216e-06,0.9999981269326509
195,1.2878520556512676e-06,0.9999994147847066
196,5.852152929625986e-07,0.9999999999999996
197,6.094697722946069e-19,0.9999999999999996
198,4.675668718598094e-19,0.9999999999999996
199,4.707647911811286e-20,0.9999999999999996
200,3.175306818463059e-20,0.9999999999999996
201,0.0,0.9999999999999996
202,0.0,0.9999999999999996
203,0.0,0.9999999999999996
204,0.0,0.9999999999999996
205,0.0,0.9999999999999996
206,0.0,0.9999999999999996
207,0.0,0.9999999999999996
