model,selection,param_clf__C,param_clf__l1_ratio,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,mean_test_roc_auc,std_test_roc_auc,mean_fit_time
logreg,none,0.008263688714158009,1.0,0.7691099005234009,0.010998310209235343,25,0.8493963700152113,0.012032826997316176,0.06309089660644532
logreg,none,0.004982752357076452,1.0,0.7539280607225046,0.017427070654982394,26,0.8444677644948628,0.014387776400842319,0.03766775131225586
logreg,none,0.0019145111285710716,1.0,0.7504644869619471,0.011901526070768413,27,0.8431745702501268,0.012254657548131181,0.03432149887084961
logreg,none,0.0019517224641449498,1.0,0.7504644869619471,0.011901526070768413,27,0.8431745702501268,0.012254657548131181,0.05588078498840332
logreg,none,0.0014857392806279248,1.0,0.7504644869619471,0.011901526070768413,27,0.8431745702501268,0.012254657548131181,0.03730077743530273
logreg,none,0.0010090061869151559,1.0,0.3212771398205196,0.0006396952796767184,30,0.5,0.0,0.039754819869995114
logreg,decided,14.528246637516036,1.0,0.8115245385220151,0.014226755439234436,1,0.8721647224359229,0.01047645592240888,0.1313692092895508
logreg,decided,55.51721685244721,1.0,0.8114264902224544,0.014241185523765071,2,0.8721025273945227,0.010486347001257596,0.12434253692626954
logreg,decided,73.92266140516048,0.0,0.8114007207253581,0.014306269767101679,3,0.8720695682529094,0.010498791327818375,0.13025422096252443
logreg,decided,1.1219752813215704,1.0,0.8111176470143897,0.015057009878152148,4,0.8729825648819822,0.010579712624405579,0.11795854568481445
logreg,decided,1.2357483710912178,1.0,0.811105696441501,0.014960654460772084,5,0.872946060130517,0.01057087091485869,0.11711616516113281
logreg,decided,0.6553013900933984,1.0,0.8110607451524272,0.015181422954161859,6,0.873330221066498,0.010598748989083539,0.12584939002990722
logreg,decided,1.0907475835157696,0.0,0.8110601282797363,0.015445762486496232,7,0.8728605276152661,0.010757377497696825,0.11275830268859863
logreg,decided,0.9846738873614566,0.0,0.8110574489003894,0.015362430074238502,8,0.872922721401376,0.010722644034104938,0.11290717124938965
logreg,decided,3.4702669886504163,1.0,0.8110532880944932,0.014777135880143321,9,0.8723806197313617,0.010505851403017494,0.11270956993103028
logreg,decided,1.1435780278433403,0.0,0.8110513347713141,0.015416429946125689,10,0.8728202089732637,0.010745656706979054,0.12121152877807617
logreg,decided,0.4206039057901998,0.0,0.8106495630190693,0.015650560482831265,11,0.8732687111626509,0.010746162768894492,0.1222146987915039
logreg,decided,0.37253938395788866,1.0,0.8106063334030758,0.015229876438732845,12,0.8735953554412286,0.010511599178226985,0.1242936134338379
logreg,decided,0.21568228019263963,0.0,0.8100164211656733,0.01597242318022082,13,0.8737095826921644,0.010708111210787258,0.13227148056030275
logreg,decided,0.19069966103000435,0.0,0.8098581222994714,0.015870585395799764,14,0.873731438337426,0.010668426586154892,0.11578922271728516
logreg,decided,0.16949768237884735,0.0,0.8092942708966007,0.01585897974565404,15,0.8735866425033623,0.010644305937071738,0.10341525077819824
logreg,decided,0.15876781526924,0.0,0.8088844976618225,0.015925760464491987,16,0.8735627225579841,0.010586669660296498,0.11659798622131348
logreg,decided,0.14445251022763064,0.0,0.8088666332242729,0.015868136845446947,17,0.8735259486889732,0.01053796950768192,0.11551117897033691
logreg,decided,0.17885301261862016,1.0,0.8071082108438355,0.01479382001770944,18,0.8726619034183374,0.010195734457550789,0.12107200622558593
logreg,decided,0.0745934328572655,0.0,0.80689711461364,0.01518104407194046,19,0.8729882211540134,0.01008849823786711,0.1006441593170166
logreg,decided,0.03334792728637585,0.0,0.8019083313331199,0.014785054118040373,20,0.8711531713431493,0.009386915036585699,0.11606383323669434
logreg,decided,0.09022004468565618,1.0,0.7966350433006781,0.015309387706067474,21,0.8673260610823285,0.009279219253745356,0.11368002891540527
logreg,decided,0.04661686413912769,1.0,0.7850353233584896,0.015868287866211958,22,0.8593385786249297,0.007581781177739203,0.12584705352783204
logreg,decided,0.014271483774997193,1.0,0.7725220065552743,0.012364900182027176,23,0.8515838930707134,0.009437123248219057,0.11582298278808593
logreg,decided,0.008263688714158009,1.0,0.7692737991755996,0.01106530870070804,24,0.8494129050782263,0.012037118132832657,0.10363979339599609
logreg,decided,0.008260808399079604,1.0,0.7692689019722044,0.011070720231540414,25,0.8494028306188127,0.012038260565300867,0.12284617424011231
logreg,decided,0.004982752357076452,1.0,0.7539280607225046,0.017427070654982394,26,0.8444677644948628,0.014387776400842319,0.1151911735534668
logreg,decided,0.0019145111285710716,1.0,0.7504644869619471,0.011901526070768413,27,0.8431745702501268,0.012254657548131181,0.1174513816833496
logreg,decided,0.0019517224641449498,1.0,0.7504644869619471,0.011901526070768413,27,0.8431745702501268,0.012254657548131181,0.10918731689453125
logreg,decided,0.0014857392806279248,1.0,0.7504644869619471,0.011901526070768413,27,0.8431745702501268,0.012254657548131181,0.107200288772583
logreg,decided,0.0010090061869151559,1.0,0.3212771398205196,0.0006396952796767184,30,0.5,0.0,0.11692967414855956
