model,selection,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,mean_test_roc_auc,std_test_roc_auc,mean_fit_time
random_forest,none,16,log2,25,0.7867293497914893,0.008896576485690174,33,0.8558249497836936,0.01176169631319063,1.125862455368042
random_forest,none,24,log2,25,0.7866619324372994,0.009061720939106219,34,0.8557535580824185,0.01176115692389381,1.0027004718780517
random_forest,none,13,log2,30,0.7839829036558151,0.009861061346538472,35,0.8543418416354163,0.012099412965133014,1.0446859359741212
random_forest,none,21,log2,35,0.7828339641262813,0.010451630515239275,36,0.8538142793090046,0.01295971159799601,1.0689830780029297
random_forest,none,11,log2,34,0.7827232165593754,0.010544893401802626,37,0.8535601284918031,0.012989094458984935,1.0759215831756592
random_forest,none,13,log2,37,0.781619831870144,0.0102475162242282,38,0.8529605559741196,0.012573796469340984,1.0619781494140625
random_forest,none,15,log2,39,0.7813024600652458,0.009457407604862595,39,0.8529448830864608,0.011741580774098898,1.0212612628936768
random_forest,none,8,log2,40,0.7804934086016587,0.009090529437876409,40,0.852030676943151,0.011975912893255882,1.0202001571655273
random_forest,decided,20,log2,5,0.8087761524846154,0.010981906096010246,1,0.8718039888191175,0.01043006314726462,1.2933195590972901
random_forest,decided,18,sqrt,2,0.8081003553372085,0.01291453816113971,2,0.8711816580771993,0.011892319143809652,1.5301763534545898
random_forest,decided,22,sqrt,9,0.8067670746335365,0.011819294399963468,3,0.8710534137169818,0.011425768030784815,1.3116267681121827
random_forest,decided,21,log2,10,0.8044723849738743,0.012283948527251105,4,0.870302579380621,0.010908045393070512,1.2499192237854004
random_forest,decided,21,sqrt,15,0.8025430322345178,0.012722155029976496,5,0.8696202937552491,0.011488047724997784,1.2585333824157714
random_forest,decided,13,0.5,4,0.8017140848332929,0.01368331506689437,6,0.8674787849378476,0.011752774618187143,2.0582252502441407
random_forest,decided,10,sqrt,16,0.8013972936708138,0.01287071629061404,7,0.8684382409226631,0.011598459806514935,1.1631913661956788
random_forest,decided,11,sqrt,17,0.8008284679038912,0.012408303877442597,8,0.8686008101219743,0.01126085285713142,1.2637221813201904
random_forest,decided,8,0.5,8,0.8007906622175464,0.012802166968109518,9,0.865971265715969,0.01065209340545906,1.7082156658172607
random_forest,decided,18,0.5,9,0.8006830595607684,0.011579177227004925,10,0.865746667943515,0.010630818883038875,1.896981906890869
random_forest,decided,5,log2,7,0.8003486777028866,0.010238142869922065,11,0.8657604752184366,0.01168126883626637,1.0773948192596436
random_forest,decided,12,0.5,10,0.8001879574151122,0.01194778669891824,12,0.8658969615064198,0.010947848393117835,1.9089880466461182
random_forest,decided,8,0.5,15,0.7991833998054585,0.011998036975847627,13,0.8641737594010881,0.011909818608011368,1.3341852188110352
random_forest,decided,17,0.5,16,0.798671892534826,0.01221371091217773,14,0.8640286527989403,0.011969928576460193,1.8244612216949463
